key,figure,case_label,title,subtitle,color,t_over_T,Y_over_d,theta_over_pi
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.000000,0.200000,0.000000
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.005556,0.200028,-0.000060
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.011111,0.200111,-0.000240
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.016667,0.200246,-0.000538
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.022222,0.200433,-0.000953
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.027778,0.200668,-0.001483
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.033333,0.200951,-0.002126
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.038889,0.201278,-0.002882
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.044444,0.201649,-0.003748
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.050000,0.202062,-0.004724
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.055556,0.202513,-0.005808
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.061111,0.203003,-0.006998
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.066667,0.203527,-0.008293
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.072222,0.204086,-0.009691
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.077778,0.204676,-0.011191
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.083333,0.205296,-0.012791
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.088889,0.205944,-0.014491
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.094444,0.206618,-0.016288
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.100000,0.207316,-0.018181
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.105556,0.208037,-0.020169
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.111111,0.208778,-0.022249
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.116667,0.209537,-0.024422
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.122222,0.210352,-0.026684
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.127778,0.211580,-0.029035
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.133333,0.213266,-0.031701
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.138889,0.215362,-0.035602
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.144444,0.217821,-0.040799
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.150000,0.220594,-0.047255
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.155556,0.223635,-0.054929
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.161111,0.226895,-0.063783
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.166667,0.230327,-0.073777
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.172222,0.233883,-0.084872
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.177778,0.237515,-0.097028
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.183333,0.241176,-0.110206
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.188889,0.244819,-0.124368
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.194444,0.248394,-0.139473
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.200000,0.251856,-0.155483
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.205556,0.255155,-0.172358
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.211111,0.258245,-0.190059
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.216667,0.261078,-0.208546
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.222222,0.263605,-0.228715
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.227778,0.265780,-0.258445
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.233333,0.267555,-0.297739
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.238889,0.268881,-0.344365
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.244444,0.269712,-0.396092
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.250000,0.270000,-0.450689
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.255556,0.269786,-0.505924
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.261111,0.269168,-0.559567
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.266667,0.268176,-0.609386
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.272222,0.266845,-0.653151
type-i-continuous-tumbling,Fig. 10(a),beta=0.25 type i,Type I: continuous tumbling,Digitized from Fig. 10(a): Y/d stays off-centre; theta tumbles through a full turn.,#2563eb,0.277778,0.265207,-0.688629
